id_reparto,distribuidor_id,fecha,dia_semana,centro_destino,zona_origen,hora_salida,hora_salida_min,distancia_km,numero_entregas,peso_total_kg,trafico,clima,duracion_estimada_min,hora_llegada_estimada,hora_llegada_estimada_min,retraso_min,duracion_real_min,hora_llegada_real,hora_llegada_real_min,puntual
R0001,D1,2026-01-05,lunes,ISOIN_Sevilla,Nervion,07:30,450,9.2,5,218.1,medio,lluvia,52,08:22,502,22,74,08:44,524,no
R0002,D1,2026-01-05,lunes,ISOIN_Sevilla,Nervion,08:20,500,14.1,3,176.9,alto,nublado,74,09:34,574,27,101,10:01,601,no
R0003,D1,2026-01-05,lunes,ISOIN_Sevilla,Alcala de Guadaira,15:00,900,18.9,5,209.1,medio,soleado,77,16:17,977,6,83,16:23,983,no
R0004,D1,2026-01-06,martes,ISOIN_Sevilla,Nervion,09:40,580,16.0,15,55.2,medio,soleado,90,11:10,670,13,103,11:23,683,no
R0005,D1,2026-01-06,martes,ISOIN_Sevilla,San Pablo,15:40,940,15.5,14,61.3,medio,nublado,82,17:02,1022,11,93,17:13,1033,no
R0006,D1,2026-01-06,martes,ISOIN_Sevilla,Torreblanca,13:40,820,7.6,8,94.2,medio,lluvia,54,14:34,874,24,78,14:58,898,no
R0007,D1,2026-01-07,miercoles,ISOIN_Sevilla,Sevilla Este,08:50,530,11.7,13,206.7,medio,soleado,71,10:01,601,11,82,10:12,612,no
R0008,D1,2026-01-07,miercoles,ISOIN_Sevilla,Alcala de Guadaira,10:30,630,5.8,12,250.9,bajo,nublado,54,11:24,684,17,71,11:41,701,no
R0009,D1,2026-01-07,miercoles,ISOIN_Sevilla,Sevilla Este,08:30,510,18.7,9,256.0,medio,soleado,81,09:51,591,18,99,10:09,609,no
R0010,D1,2026-01-08,jueves,ISOIN_Sevilla,Nervion,08:15,495,19.5,9,185.2,medio,soleado,88,09:43,583,17,105,10:00,600,no
R0011,D1,2026-01-08,jueves,ISOIN_Sevilla,Nervion,13:10,790,17.5,11,221.5,alto,soleado,94,14:44,884,22,116,15:06,906,no
