id_reparto,distribuidor_id,fecha,dia_semana,centro_destino,zona_origen,hora_salida,hora_salida_min,distancia_km,numero_entregas,peso_total_kg,trafico,clima,duracion_estimada_min,hora_llegada_estimada,hora_llegada_estimada_min,retraso_min,duracion_real_min,hora_llegada_real,hora_llegada_real_min,puntual
R2001,D3,2026-03-02,lunes,ISOIN_Sevilla,Macarena,16:00,960,8.4,12,228.7,medio,soleado,64,17:04,1024,12,76,17:16,1036,no
R2002,D3,2026-03-02,lunes,ISOIN_Sevilla,Macarena,11:10,670,9.0,8,137.5,bajo,lluvia,50,12:00,720,13,63,12:13,733,no
R2003,D3,2026-03-02,lunes,ISOIN_Sevilla,Alamillo,06:00,360,4.3,11,138.1,bajo,soleado,41,06:41,401,0,41,06:41,401,si
R2004,D3,2026-03-03,martes,ISOIN_Sevilla,San Jeronimo,08:05,485,5.8,5,141.1,medio,soleado,50,08:55,535,15,65,09:10,550,no
R2005,D3,2026-03-03,martes,ISOIN_Sevilla,Cartuja,14:10,850,13.1,13,155.1,medio,soleado,75,15:25,925,18,93,15:43,943,no
R2006,D3,2026-03-03,martes,ISOIN_Sevilla,Alamillo,09:10,550,9.2,4,205.6,bajo,soleado,42,09:52,592,2,44,09:54,594,si
R2007,D3,2026-03-04,miercoles,ISOIN_Sevilla,Pino Montano,14:10,850,7.7,10,111.1,alto,soleado,72,15:22,922,25,97,15:47,947,no
R2008,D3,2026-03-04,miercoles,ISOIN_Sevilla,Pino Montano,06:25,385,9.8,12,95.1,bajo,lluvia,64,07:29,449,15,79,07:44,464,no
R2009,D3,2026-03-04,miercoles,ISOIN_Sevilla,Cartuja,08:35,515,10.7,12,85.7,medio,soleado,66,09:41,581,9,75,09:50,590,no
R2010,D3,2026-03-05,jueves,ISOIN_Sevilla,San Jeronimo,08:55,535,4.6,11,198.1,medio,nublado,47,09:42,582,8,55,09:50,590,no
R2011,D3,2026-03-05,jueves,ISOIN_Sevilla,San Jeronimo,16:20,980,13.4,10,68.6,medio,nublado,75,17:35,1055,14,89,17:49,1069,no
R2012,D3,2026-03-05,jueves,ISOIN_Sevilla,Macarena,07:20,440,6.8,4,215.9,medio,soleado,51,08:11,491,8,59,08:19,499,no
R2013,D3,2026-03-06,viernes,ISOIN_Sevilla,Pino Montano,14:35,875,9.6,9,186.2,alto,nublado,74,15:49,949,19,93,16:08,968,no
R2014,D3,2026-03-06,viernes,ISOIN_Sevilla,Alamillo,16:25,985,8.8,8,57.2,bajo,soleado,47,17:12,1032,2,49,17:14,1034,si
R2015,D3,2026-03-06,viernes,ISOIN_Sevilla,Alamillo,09:05,545,8.1,9,140.4,medio,soleado,56,10:01,601,11,67,10:12,612,no
R2016,D3,2026-03-07,sabado,ISOIN_Sevilla,Alamillo,14:25,865,3.0,4,182.8,bajo,nublado,34,14:59,899,6,40,15:05,905,no
R2017,D3,2026-03-07,sabado,ISOIN_Sevilla,Pino Montano,09:20,560,8.7,12,104.6,alto,nublado,76,10:36,636,27,103,11:03,663,no
R2018,D3,2026-03-07,sabado,ISOIN_Sevilla,Macarena,08:35,515,13.3,5,194.2,bajo,nublado,60,09:35,575,6,66,09:41,581,no
R2019,D3,2026-03-09,lunes,ISOIN_Sevilla,Alamillo,08:45,525,3.6,12,37.1,alto,soleado,64,09:49,589,20,84,10:09,609,no
R2020,D3,2026-03-09,lunes,ISOIN_Sevilla,Macarena,14:20,860,11.4,13,85.7,alto,lluvia,86,15:46,946,36,122,16:22,982,no
R2021,D3,2026-03-09,lunes,ISOIN_Sevilla,Macarena,16:55,1015,10.4,13,74.6,bajo,soleado,62,17:57,1077,10,72,18:07,1087,no
R2022,D3,2026-03-09,lunes,ISOIN_Sevilla,Pino Montano,08:45,525,6.7,5,125.8,medio,lluvia,46,09:31,571,15,61,09:46,586,no
R2023,D3,2026-03-09,lunes,ISOIN_Sevilla,Cartuja,14:45,885,5.9,12,225.8,alto,nublado,72,15:57,957,31,103,16:28,988,no
R2024,D3,2026-03-09,lunes,ISOIN_Sevilla,San Jeronimo,14:55,895,4.1,5,99.3,medio,soleado,44,15:39,939,10,54,15:49,949,no
R2025,D3,2026-03-10,martes,ISOIN_Sevilla,Alamillo,16:55,1015,11.2,6,103.0,bajo,soleado,52,17:47,1067,0,52,17:47,1067,si
R2026,D3,2026-03-10,martes,ISOIN_Sevilla,San Jeronimo,14:10,850,4.1,9,139.6,medio,nublado,45,14:55,895,13,58,15:08,908,no
R2027,D3,2026-03-10,martes,ISOIN_Sevilla,San Jeronimo,07:10,430,11.8,4,171.9,medio,nublado,60,08:10,490,6,66,08:16,496,no
R2028,D3,2026-03-11,miercoles,ISOIN_Sevilla,Cartuja,07:20,440,9.0,11,130.2,alto,soleado,74,08:34,514,8,82,08:42,522,no
R2029,D3,2026-03-11,miercoles,ISOIN_Sevilla,Macarena,16:20,980,5.8,8,208.8,medio,lluvia,45,17:05,1025,24,69,17:29,1049,no
R2030,D3,2026-03-11,miercoles,ISOIN_Sevilla,Macarena,07:10,430,7.5,8,196.6,medio,soleado,53,08:03,483,10,63,08:13,493,no
R2031,D3,2026-03-12,jueves,ISOIN_Sevilla,San Jeronimo,11:55,715,11.5,9,110.4,alto,soleado,78,13:13,793,18,96,13:31,811,no
R2032,D3,2026-03-12,jueves,ISOIN_Sevilla,San Jeronimo,09:05,545,14.4,7,218.7,alto,soleado,75,10:20,620,28,103,10:48,648,no
R2033,D3,2026-03-12,jueves,ISOIN_Sevilla,Pino Montano,07:00,420,2.5,7,97.6,alto,soleado,51,07:51,471,16,67,08:07,487,no
R2034,D3,2026-03-13,viernes,ISOIN_Sevilla,Macarena,07:20,440,14.4,12,183.8,medio,soleado,77,08:37,517,5,82,08:42,522,si
R2035,D3,2026-03-13,viernes,ISOIN_Sevilla,San Jeronimo,07:10,430,4.1,7,141.1,alto,soleado,57,08:07,487,16,73,08:23,503,no
R2036,D3,2026-03-13,viernes,ISOIN_Sevilla,Alamillo,16:45,1005,8.6,10,147.5,bajo,lluvia,50,17:35,1055,20,70,17:55,1075,no
R2037,D3,2026-03-14,sabado,ISOIN_Sevilla,Macarena,14:00,840,6.7,4,80.9,alto,nublado,55,14:55,895,11,66,15:06,906,no
R2038,D3,2026-03-14,sabado,ISOIN_Sevilla,Pino Montano,08:35,515,13.6,11,150.9,medio,nublado,73,09:48,588,10,83,09:58,598,no
R2039,D3,2026-03-14,sabado,ISOIN_Sevilla,San Jeronimo,06:10,370,10.2,7,226.3,bajo,soleado,52,07:02,422,3,55,07:05,425,si
R2040,D3,2026-03-16,lunes,ISOIN_Sevilla,Cartuja,11:20,680,12.7,6,129.4,medio,soleado,64,12:24,744,9,73,12:33,753,no
R2041,D3,2026-03-16,lunes,ISOIN_Sevilla,Pino Montano,09:05,545,2.7,11,162.3,medio,soleado,44,09:49,589,4,48,09:53,593,si
R2042,D3,2026-03-16,lunes,ISOIN_Sevilla,Alamillo,09:25,565,8.8,7,153.3,alto,nublado,64,10:29,629,22,86,10:51,651,no
R2043,D3,2026-03-16,lunes,ISOIN_Sevilla,San Jeronimo,09:05,545,10.1,6,102.9,medio,nublado,58,10:03,603,21,79,10:24,624,no
R2044,D3,2026-03-16,lunes,ISOIN_Sevilla,Alamillo,09:25,565,7.8,12,74.5,alto,soleado,69,10:34,634,13,82,10:47,647,no
R2045,D3,2026-03-16,lunes,ISOIN_Sevilla,Pino Montano,06:25,385,3.8,8,195.6,medio,soleado,46,07:11,431,10,56,07:21,441,no
R2046,D3,2026-03-17,martes,ISOIN_Sevilla,San Jeronimo,07:20,440,12.5,10,226.5,alto,nublado,84,08:44,524,17,101,09:01,541,no
R2047,D3,2026-03-17,martes,ISOIN_Sevilla,Cartuja,11:45,705,13.1,9,221.7,medio,lluvia,74,12:59,779,32,106,13:31,811,no
R2048,D3,2026-03-17,martes,ISOIN_Sevilla,Macarena,08:00,480,5.4,7,92.1,alto,nublado,58,08:58,538,13,71,09:11,551,no
R2049,D3,2026-03-18,miercoles,ISOIN_Sevilla,San Jeronimo,14:35,875,9.5,6,40.7,medio,soleado,50,15:25,925,12,62,15:37,937,no
R2050,D3,2026-03-18,miercoles,ISOIN_Sevilla,Macarena,16:00,960,10.5,8,43.3,medio,lluvia,65,17:05,1025,20,85,17:25,1045,no
R2051,D3,2026-03-18,miercoles,ISOIN_Sevilla,Pino Montano,09:00,540,3.4,10,71.6,alto,nublado,63,10:03,603,24,87,10:27,627,no
R2052,D3,2026-03-19,jueves,ISOIN_Sevilla,Pino Montano,14:00,840,3.0,5,78.0,alto,nublado,51,14:51,891,22,73,15:13,913,no
R2053,D3,2026-03-19,jueves,ISOIN_Sevilla,Cartuja,11:20,680,4.4,11,161.6,bajo,soleado,50,12:10,730,0,50,12:10,730,si
R2054,D3,2026-03-19,jueves,ISOIN_Sevilla,Alamillo,09:20,560,4.1,6,114.4,alto,nublado,48,10:08,608,30,78,10:38,638,no
R2055,D3,2026-03-20,viernes,ISOIN_Sevilla,Macarena,07:00,420,8.9,13,218.8,alto,soleado,73,08:13,493,37,110,08:50,530,no
R2056,D3,2026-03-20,viernes,ISOIN_Sevilla,Pino Montano,07:05,425,8.8,7,204.1,medio,nublado,53,07:58,478,9,62,08:07,487,no
R2057,D3,2026-03-20,viernes,ISOIN_Sevilla,Pino Montano,07:45,465,7.2,6,81.5,medio,soleado,49,08:34,514,9,58,08:43,523,no
R2058,D3,2026-03-21,sabado,ISOIN_Sevilla,Macarena,09:55,595,6.9,9,133.4,bajo,soleado,47,10:42,642,4,51,10:46,646,si
R2059,D3,2026-03-21,sabado,ISOIN_Sevilla,Alamillo,09:25,565,4.8,6,35.7,alto,nublado,49,10:14,614,27,76,10:41,641,no
R2060,D3,2026-03-21,sabado,ISOIN_Sevilla,Cartuja,08:00,480,8.4,7,50.0,bajo,soleado,44,08:44,524,0,44,08:44,524,si
R2061,D3,2026-03-23,lunes,ISOIN_Sevilla,Cartuja,14:05,845,12.2,4,78.7,medio,soleado,63,15:08,908,4,67,15:12,912,si
R2062,D3,2026-03-23,lunes,ISOIN_Sevilla,Alamillo,09:35,575,6.4,9,37.3,alto,soleado,65,10:40,640,22,87,11:02,662,no
